tahun_data,kabkota,lokasi,jml
2022,Kab. Jepara,Rumah Tangga,12
2022,Kab. Jepara,Tempat Kerja,1
2022,Kab. Jepara,Lainnya,0
2022,Kab. Jepara,Sekolah,0
2022,Kab. Jepara,Fasilitas Umum,1
2022,Kab. Jepara,Lembaga Pendidikan Kilat,0
2022,Kab. Demak,Rumah Tangga,27
2022,Kab. Demak,Tempat Kerja,0
2022,Kab. Demak,Lainnya,0
2022,Kab. Demak,Sekolah,0
2022,Kab. Demak,Fasilitas Umum,1
2022,Kab. Demak,Lembaga Pendidikan Kilat,0
2022,Kab. Semarang,Rumah Tangga,46
2022,Kab. Semarang,Tempat Kerja,2
2022,Kab. Semarang,Lainnya,6
2022,Kab. Semarang,Sekolah,0
2022,Kab. Semarang,Fasilitas Umum,3
2022,Kab. Semarang,Lembaga Pendidikan Kilat,0
2022,Kab. Temanggung,Rumah Tangga,9
2022,Kab. Temanggung,Tempat Kerja,0
2022,Kab. Temanggung,Lainnya,0
2022,Kab. Temanggung,Sekolah,0
2022,Kab. Temanggung,Fasilitas Umum,0
2022,Kab. Temanggung,Lembaga Pendidikan Kilat,0
2022,Kab. Kendal,Rumah Tangga,26
2022,Kab. Kendal,Tempat Kerja,0
2022,Kab. Kendal,Lainnya,1
2022,Kab. Kendal,Sekolah,0
2022,Kab. Kendal,Fasilitas Umum,1
2022,Kab. Kendal,Lembaga Pendidikan Kilat,0
2022,Kab. Batang,Rumah Tangga,9
2022,Kab. Batang,Tempat Kerja,1
2022,Kab. Batang,Lainnya,1
2022,Kab. Batang,Sekolah,0
2022,Kab. Batang,Fasilitas Umum,0
2022,Kab. Batang,Lembaga Pendidikan Kilat,0
2022,Kab. Pekalongan,Rumah Tangga,33
2022,Kab. Pekalongan,Tempat Kerja,0
2022,Kab. Pekalongan,Lainnya,2
2022,Kab. Pekalongan,Sekolah,1
2022,Kab. Pekalongan,Fasilitas Umum,0
2022,Kab. Pekalongan,Lembaga Pendidikan Kilat,0
2022,Kab. Pemalang,Rumah Tangga,31
2022,Kab. Pemalang,Tempat Kerja,1
2022,Kab. Pemalang,Lainnya,0
2022,Kab. Pemalang,Sekolah,0
2022,Kab. Pemalang,Fasilitas Umum,4
2022,Kab. Pemalang,Lembaga Pendidikan Kilat,0
2022,Kab. Tegal,Rumah Tangga,30
2022,Kab. Tegal,Tempat Kerja,0
2022,Kab. Tegal,Lainnya,0
2022,Kab. Tegal,Sekolah,0
2022,Kab. Tegal,Fasilitas Umum,1
2022,Kab. Tegal,Lembaga Pendidikan Kilat,0
2022,Kab. Brebes,Rumah Tangga,20
2022,Kab. Brebes,Tempat Kerja,0
2022,Kab. Brebes,Lainnya,4
2022,Kab. Brebes,Sekolah,0
2022,Kab. Brebes,Fasilitas Umum,3
2022,Kab. Brebes,Lembaga Pendidikan Kilat,0
2022,Kota Magelang,Rumah Tangga,4
2022,Kota Magelang,Tempat Kerja,0
2022,Kota Magelang,Lainnya,1
2022,Kota Magelang,Sekolah,0
2022,Kota Magelang,Fasilitas Umum,2
2022,Kota Magelang,Lembaga Pendidikan Kilat,0
2022,Kota Surakarta,Rumah Tangga,13
2022,Kota Surakarta,Tempat Kerja,0
2022,Kota Surakarta,Lainnya,1
2022,Kota Surakarta,Sekolah,0
2022,Kota Surakarta,Fasilitas Umum,4
2022,Kota Surakarta,Lembaga Pendidikan Kilat,0
2022,Kota Salatiga,Rumah Tangga,15
2022,Kota Salatiga,Tempat Kerja,1
2022,Kota Salatiga,Lainnya,2
2022,Kota Salatiga,Sekolah,1
2022,Kota Salatiga,Fasilitas Umum,1
2022,Kota Salatiga,Lembaga Pendidikan Kilat,0
2022,Kota Semarang,Rumah Tangga,142
2022,Kota Semarang,Tempat Kerja,2
2022,Kota Semarang,Lainnya,22
2022,Kota Semarang,Sekolah,2
2022,Kota Semarang,Fasilitas Umum,9
2022,Kota Semarang,Lembaga Pendidikan Kilat,0
2022,Kota Pekalongan,Rumah Tangga,12
2022,Kota Pekalongan,Tempat Kerja,0
2022,Kota Pekalongan,Lainnya,0
2022,Kota Pekalongan,Sekolah,0
2022,Kota Pekalongan,Fasilitas Umum,0
2022,Kota Pekalongan,Lembaga Pendidikan Kilat,0
2022,Kota Tegal,Rumah Tangga,6
2022,Kota Tegal,Tempat Kerja,1
2022,Kota Tegal,Lainnya,2
2022,Kota Tegal,Sekolah,0
2022,Kota Tegal,Fasilitas Umum,0
2022,Kota Tegal,Lembaga Pendidikan Kilat,0
